,1000,1500,2000,2500,5000,7500,10000,15000,20000,30000,40000,50000,60000,70000,80000,100000,200000,300000,500000,1000000,5000000,1000000
dynamic,1901,2189,3141,3489,6771,9955,13502,19635,26134,38935,51850,64617,77432,90269,103142,128825,303854,396231,716734,1223990,6122866,1307265
goldenRatio,2962,770,531,3003,693,643,677,664,641,637,669,2588,498,482,518,487,501,486,2250,641,724,676
